,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2976,786153,Religion Explained: The Evolutionary Origins of Religious Thought,Pascal Boyer,"Boyer, Pascal",,0465006965,9780465006960,0,3.98,Basic Books,Paperback,375.0,2002.0,2001.0,,2023/01/03,to-read,to-read (#909),to-read,,,,0,0
2977,243725,"Out of Control: The New Biology of Machines, Social Systems, and the Economic World",Kevin Kelly,"Kelly, Kevin",,0201483408,9780201483406,0,4.23,Basic Books,Paperback,528.0,1995.0,1992.0,,2023/01/03,to-read,to-read (#908),to-read,,,,0,0
2978,40694021,The Knife’s Edge: The Heart and Mind of a Cardiac Surgeon,Stephen Westaby,"Westaby, Stephen",,0008285802,9780008285807,0,4.28,Mudlark,Kindle Edition,327.0,2019.0,2019.0,,2023/01/03,to-read,to-read (#907),to-read,,,,0,0
2979,18667960,"A Troublesome Inheritance: Genes, Race and Human History",Nicholas Wade,"Wade, Nicholas",,1594204462,9781594204463,0,3.74,Penguin Press,Hardcover,288.0,2014.0,2014.0,,2023/01/03,to-read,to-read (#906),to-read,,,,0,0
2980,6402547,The Faith Instinct: How Religion Evolved and Why It Endures,Nicholas Wade,"Wade, Nicholas",,1594202281,9781594202285,0,3.73,"Penguin Press HC, The",Hardcover,320.0,2009.0,2009.0,,2023/01/03,to-read,to-read (#905),to-read,,,,0,0
2981,21894346,"The First Knowledge Economy: Human Capital and the European Economy, 1750–1850",Margaret C. Jacob,"Jacob, Margaret C.",,1107705266,9781107705265,0,3.73,Cambridge University Press,Kindle Edition,269.0,2014.0,2013.0,,2023/01/03,to-read,to-read (#904),to-read,,,,0,0
2982,61353789,"Minds of Gods, The: New Horizons in the Naturalistic Study of Religion (Scientific Studies of Religion: Inquiry and Explanation)",Benjamin Grant Purzycki,"Purzycki, Benjamin Grant","Dimitris Xygalatas, Theiss Bendixen, Donald Wiebe, Luther H. Martin, Radek Kundt",1350265705,9781350265707,0,4.5,Bloomsbury Academic,Hardcover,284.0,2023.0,,,2023/01/03,to-read,to-read (#903),to-read,,,,0,0
2983,61143162,"Religion Evolving: Cultural, Cognitive, and Ecological Dynamics (Advances in the Cognitive Science of Religion)",Benjamin Grant Purzycki,"Purzycki, Benjamin Grant",Richard Sosis,1800500521,9781800500525,0,4.33,Equinox Publishing,Paperback,247.0,2022.0,,,2023/01/03,to-read,to-read (#902),to-read,,,,0,0
2984,22711627,Building and Dwelling: Ethics for the City,Richard Sennett,"Sennett, Richard",,071399875X,9780713998757,0,4.02,Allen Lane,Hardcover,368.0,2018.0,2018.0,,2023/01/03,to-read,to-read (#901),to-read,,,,0,0
2985,1931426,The Craftsman,Richard Sennett,"Sennett, Richard",,0300119097,9780300119091,0,3.84,Yale University Press,Hardcover,336.0,2008.0,2008.0,,2023/01/03,to-read,to-read (#900),to-read,,,,0,0
2986,39964407,The European Guilds: An Economic Analysis (The Princeton Economic History of the Western World),Sheilagh Ogilvie,"Ogilvie, Sheilagh",,0691137544,9780691137544,0,4.27,Princeton University Press,Hardcover,752.0,2019.0,,,2023/01/03,to-read,to-read (#899),to-read,,,,0,0
2987,22693086,The Invention of Science: A New History of the Scientific Revolution,David Wootton,"Wootton, David",,006175952X,9780061759529,0,3.89,Harper,Hardcover,784.0,2015.0,2015.0,,2023/01/03,to-read,to-read (#898),to-read,,,,0,0
2988,34617904,Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,"Ansary, Tamim",,,,0,4.4,PublicAffairs,Kindle Edition,416.0,2009.0,2009.0,,2023/01/03,to-read,to-read (#897),to-read,,,,0,0
